search_keyword,near_coastline,place_url,name,address,place_name,longitude,category,phone,latitude
어란진항,True,http://place.map.kakao.com/10567220,어란진항,전남 해남군 송지면 어란리,어란진항,126.475683551779,"교통,수송 > 교통시설 > 항구,포구",,34.3505957827997
서망항,True,http://place.map.kakao.com/10500675,서망항,전남 진도군 임회면,서망항,126.133855739527,"교통,수송 > 교통시설 > 항구,포구",,34.3656233246443
상마도,True,http://place.map.kakao.com/8356862,상마도,전남 해남군 화산면 삼마리 40,상마도,126.414868500448,"여행 > 관광,명소 > 섬",,34.4613397410453
벽파진,True,http://place.map.kakao.com/8056178,벽파진,전남 진도군 고군면 벽파리 682-4,이충무공벽파진전첩비,126.343884219388,"여행 > 관광,명소 > 문화유적 > 탑,비석",061-540-3427,34.5385281181704
팽목,True,http://place.map.kakao.com/46992839,팽목,전남 진도군 임회면 연동리 1491,세월호 팽목기억관,126.13650617833558,"사회,공공기관 > 행정기관부속시설",,34.375882402110655
하조도,True,http://place.map.kakao.com/18376925,하조도,전남 진도군 조도면 창유리,하조도,126.053647924049,"여행 > 관광,명소 > 섬",,34.2971367807896
상조도,True,http://place.map.kakao.com/18376867,상조도,전남 진도군 조도면 여미리,상조도,126.025728390108,"여행 > 관광,명소 > 섬",,34.3344249123012
서거차항,True,http://place.map.kakao.com/17434404,서거차항,전남 진도군 조도면,서거차항,125.915707832881,"교통,수송 > 교통시설 > 항구,포구",,34.2499087555262
우이도항,True,http://place.map.kakao.com/18354524,우이도항,전남 신안군 도초면 우이도리 167-6,우이도항,125.8563788697739,"교통,수송 > 교통시설 > 항구,포구",,34.620879701353786
흑산도,True,http://place.map.kakao.com/10317962,흑산도,전남 신안군 흑산면 예리,흑산도,125.414154508121,"여행 > 관광,명소 > 섬",,34.6663015250018
홍도항,True,http://place.map.kakao.com/18354401,홍도항,전남 신안군 흑산면 홍도리,홍도항,125.193182158142,"교통,수송 > 교통시설 > 항구,포구",,34.6826106899747
능산도,True,http://place.map.kakao.com/18376851,능산도,전남 신안군 하의면 능산리,능산도,126.001544636985,"여행 > 관광,명소 > 섬",,34.6176194796585
비금도수대,True,http://place.map.kakao.com/25293005,비금도수대,전남 신안군 비금면 수대리,수대,125.934278821421,부동산 > 지명,,34.7213360696972
원평항,True,http://place.map.kakao.com/17434406,원평항,전남 신안군 비금면,원평항,125.912230935948,"교통,수송 > 교통시설 > 항구,포구",,34.7786661876339
하태도,True,http://place.map.kakao.com/18376909,하태도,전남 신안군 흑산면 태도리,하태도,125.299842273074,"여행 > 관광,명소 > 섬",061-246-2437,34.389370565653
하의도웅곡,True,http://place.map.kakao.com/25332964,하의도웅곡,전남 신안군 하의면 웅곡리,웅곡,126.035438851195,부동산 > 지명,,34.605716152977
우수영항,True,http://place.map.kakao.com/19149163,우수영항,전남 해남군 문내면 선두리 421-12,우수영항,126.310837070012,"교통,수송 > 교통시설 > 항구,포구",,34.5883643494342
시하도,True,http://place.map.kakao.com/18376822,시하도,전남 해남군 화원면 치하리,시하도,126.242538220731,"여행 > 관광,명소 > 섬",,34.6993267272759
월내리,True,http://place.map.kakao.com/528293263,월내리,부산 기장군 장안읍 월내리 553,웨이브온커피,129.269784558837,음식점 > 카페 > 커피전문점,051-727-1660,35.3222915727433
평사도,True,http://place.map.kakao.com/8614727,평사도,전남 신안군 신의면 고평사도리,평사도,126.145126934522,"여행 > 관광,명소 > 섬",,34.5790374943785
목포,True,http://place.map.kakao.com/8667941,목포,전남 목포시 용해동 산 86-24,목포 갓바위,126.425759127126,"여행 > 관광,명소 > 바위",,34.7920224100901
내산리,True,http://place.map.kakao.com/12728653,내산리,경남 고성군 동해면 내산리 188-10,고성내산리고분군,128.451643812055,"여행 > 관광,명소 > 문화유적 > 릉,묘,총",,35.0466005034227
임자도진리,True,http://place.map.kakao.com/17341795,임자도진리,전남 신안군 임자면 진리 431-56,신안임자도 디딤돌,126.10773460728,"가정,생활 > 식품판매 > 수산물판매",,35.0862880506569
자동리,True,http://place.map.kakao.com/1848473165,자동리,전남 신안군 지도읍 자동리 100-282,서해랑길 25코스,126.263583556708,"여행 > 관광,명소 > 도보여행 > 서해랑길",,35.0433146654324
함평만,True,http://place.map.kakao.com/1409837706,함평만,전남 함평군 손불면 산남리 2886,호남해안로드 5코스 함평만해안도로,126.413741144241,"여행 > 관광,명소 > 도보여행",,35.1191827056835
안마도,True,http://place.map.kakao.com/18376877,안마도,전남 영광군 낙월면 월촌리,안마도,126.02818142772,"여행 > 관광,명소 > 섬",,35.3459020602136
영광,True,http://place.map.kakao.com/8435660,영광,전남 영광군 백수읍 대신리 산 234-11,백수해안도로,126.395949459623,"여행 > 관광,명소 > 드라이브코스",,35.3635569432416
위도,True,http://place.map.kakao.com/18080975,위도,전북특별자치도 부안군 위도면 치도리,위도,126.282739994419,"여행 > 관광,명소 > 섬",,35.5954993755997
하왕등도,True,http://place.map.kakao.com/8127467,하왕등도,전북특별자치도 부안군 위도면 하왕등리,하왕등도,126.11967996132,"여행 > 관광,명소 > 섬",,35.6427078898595
선유도,True,http://place.map.kakao.com/14864632,선유도,전북특별자치도 군산시 옥도면 선유도리,선유도,126.410505924295,"여행 > 관광,명소 > 섬",,35.8106890647466
말도항,True,http://place.map.kakao.com/17434452,말도항,전북특별자치도 군산시 옥도면 말도리 산 34,말도여객선선착장,126.3210444898925,"교통,수송 > 교통시설 > 항구,포구",,35.853643280846605
군산연도항,True,http://place.map.kakao.com/17434455,군산연도항,전북특별자치도 군산시 옥도면 연도리 177-4,연도항(군산),126.44270052481095,"교통,수송 > 교통시설 > 항구,포구",,36.081292294547275
비응항,True,http://place.map.kakao.com/18349577,비응항,전북특별자치도 군산시 오식도동,비응항,126.530724751931,"교통,수송 > 교통시설 > 선착장,항만시설",,35.937305992174
군산내항,True,http://place.map.kakao.com/8662578,군산내항,전북특별자치도 군산시 장미동 1-4,군산내항,126.715963434737,"교통,수송 > 교통시설 > 항구,포구",,35.9895352352431
군산외항,True,http://place.map.kakao.com/176242368,군산외항,전북특별자치도 군산시 소룡동 11-6,군산외항방파제,126.621508021269,"여행 > 관광,명소 > 방조제",,35.9782001125224
군산죽도,True,http://place.map.kakao.com/21029574,군산죽도,전북특별자치도 군산시 수송동 821,죽이야기 군산수송점,126.71448855838668,음식점 > 한식 > 죽 > 죽이야기,063-467-8097,35.96336170638836
서천마량,True,http://place.map.kakao.com/17520575,서천마량,충남 서천군 서면 마량리 339-12,서천서부수협 마량위판장,126.50364868766927,"가정,생활 > 식품판매 > 수산물판매",,36.12977300685991
어청도,True,http://place.map.kakao.com/18376879,어청도,전북특별자치도 군산시 옥도면 어청도리,어청도,125.979658570926,"여행 > 관광,명소 > 섬",,36.1197111896616
외연도항,True,http://place.map.kakao.com/17434460,외연도항,충남 보령시 오천면 외연도리 160-87,외연도항,126.0823063594534,"교통,수송 > 교통시설 > 항구,포구",,36.225132520796635
대천항,True,http://place.map.kakao.com/18377106,대천항,충남 보령시 신흑동 2245,대천항,126.5123114185944,"교통,수송 > 교통시설 > 항구,포구",041-932-2023,36.32755927722483
보령,True,http://place.map.kakao.com/10410075,보령,충남 보령시 웅천읍 관당리 799-1,무창포해수욕장,126.53663345813,"여행 > 관광,명소 > 해수욕장,해변",041-936-3561,36.2453123693452
소도,True,http://place.map.kakao.com/7966428,소도,충남 보령시 오천면 효자도리,소도,126.433808741883,"여행 > 관광,명소 > 섬",,36.3992226427342
간월도항,True,http://place.map.kakao.com/19585893,간월도항,충남 홍성군 서부면 궁리,궁리항,126.45631064238,"교통,수송 > 교통시설 > 항구,포구",,36.5879445303121
외도,True,http://place.map.kakao.com/13323388,외도,제주특별자치도 제주시 내도동 465-2,알작지해변,126.43979648686667,"여행 > 관광,명소 > 해수욕장,해변",,33.495927122987865
안흥신진도,True,http://place.map.kakao.com/10065233,안흥신진도,충남 태안군 근흥면 신진도리 85,안흥초등학교 신진도분교장,126.139163225971,"교육,학문 > 학교 > 초등학교",041-674-9327,36.6828730096505
가의도항,True,http://place.map.kakao.com/18354422,가의도항,충남 태안군 근흥면 가의도리,가의도항,126.064592761539,"교통,수송 > 교통시설 > 항구,포구",,36.6722867433321
모항항,True,http://place.map.kakao.com/8312298,모항항,충남 태안군 소원면 모항리,모항항,126.134377327847,"교통,수송 > 교통시설 > 항구,포구",041-670-2114,36.7759934066356
천리포항,True,http://place.map.kakao.com/8601613,천리포항,충남 태안군 소원면 의항리 978-90,천리포항,126.147625062728,"교통,수송 > 교통시설 > 항구,포구",,36.8040155219472
학암포,True,http://place.map.kakao.com/8650114,학암포,충남 태안군 원북면 방갈리 515-121,학암포해수욕장,126.203812175173,"여행 > 관광,명소 > 해수욕장,해변",041-674-7865,36.8984381029039
백아도,True,http://place.map.kakao.com/18376756,백아도,인천 옹진군 덕적면 백아리,백아도,125.950850474784,"여행 > 관광,명소 > 섬",,37.0878836733331
굴업도,True,http://place.map.kakao.com/18376847,굴업도,인천 옹진군 덕적면 굴업리 산 4,굴업도,125.97941900801521,"여행 > 관광,명소 > 섬",,37.18998083264322
소야도,True,http://place.map.kakao.com/18376820,소야도,인천 옹진군 덕적면 소야리,소야도,126.16851647134,"여행 > 관광,명소 > 섬",,37.2186267671783
덕적도진리,True,http://place.map.kakao.com/18376803,덕적도진리,인천 옹진군 덕적면 진리,덕적도,126.125551364273,"여행 > 관광,명소 > 섬",,37.2318326363454
덕적도북리,True,http://place.map.kakao.com/17434493,덕적도북리,인천 옹진군 덕적면,덕적도항,126.120599045101,"교통,수송 > 교통시설 > 항구,포구",,37.2522850872044
우무도,True,http://place.map.kakao.com/14864895,우무도,충남 당진시 석문면 난지도리 산 13,우무도,126.44691386523,"여행 > 관광,명소 > 섬",,37.0312169625904
삼길포항,True,http://place.map.kakao.com/26974768,삼길포항,충남 서산시 대산읍 화곡리 1891,삼길포항,126.452790265696,"교통,수송 > 교통시설 > 항구,포구",,37.0035417628837
대산,True,http://place.map.kakao.com/12435035,대산,충남 서산시 대산읍 오지리,벌천포해수욕장,126.336562827618,"여행 > 관광,명소 > 해수욕장,해변",,36.9674289105816
풍도항,True,http://place.map.kakao.com/18354460,풍도항,경기 안산시 단원구 풍도동,풍도항,126.393561738336,"교통,수송 > 교통시설 > 항구,포구",,37.1129633328244
국화도,True,http://place.map.kakao.com/8215120,국화도,경기 화성시 우정읍 국화리 100,국화도,126.554282213197,"여행 > 관광,명소 > 섬",,37.0596163660571
한진리,True,http://place.map.kakao.com/1795960083,한진리,충남 당진시 송악읍 한진리,한진포구 전망대,126.783114851936,"여행 > 관광,명소 > 전망대",,36.9712045897978
제부도,True,http://place.map.kakao.com/8069124,제부도,경기 화성시 서신면 제부리,제부도,126.624022794909,"여행 > 관광,명소 > 섬",031-355-3924,37.1722091969137
영흥도,True,http://place.map.kakao.com/8020553,영흥도,인천 옹진군 영흥면 내리 358-2,영흥도,126.464947105327,"여행 > 관광,명소 > 섬",032-899-3407,37.263006262889
이작도,True,http://place.map.kakao.com/18376747,이작도,인천 옹진군 자월면 이작리,대이작도,126.263621482988,"여행 > 관광,명소 > 섬",032-899-3752,37.1725070938665
팔미도,True,http://place.map.kakao.com/8133695,팔미도,인천 중구 무의동 372,팔미도,126.511340770511,"여행 > 관광,명소 > 섬",,37.3582470900538
소무의도,True,http://place.map.kakao.com/7959279,소무의도,인천 중구 무의동,소무의도,126.443301802566,"여행 > 관광,명소 > 섬",,37.3719950743652
대무의도,True,http://place.map.kakao.com/18376755,대무의도,인천 중구 무의동,무의도,126.418467797483,"여행 > 관광,명소 > 섬",,37.3868071480195
용유도,True,http://place.map.kakao.com/8031472,용유도,인천 중구 을왕동,용유도,126.392623798853,"여행 > 관광,명소 > 섬",,37.4499530268441
안산탄도,True,http://place.map.kakao.com/25043829,안산탄도,경기 안산시 단원구 선감동 산 147-7,탄도,126.647603635896,"여행 > 관광,명소 > 섬 > 섬(내륙)",,37.197809304906485
영종도,True,http://place.map.kakao.com/18376773,영종도,인천 중구 운남동,영종도,126.531476006286,"여행 > 관광,명소 > 섬",,37.5028287435371
장봉항,True,http://place.map.kakao.com/17434499,장봉항,인천 옹진군 북도면 장봉리,장봉항,126.384234124187,"교통,수송 > 교통시설 > 항구,포구",,37.5308981582233
아차도,True,http://place.map.kakao.com/18376675,아차도,인천 강화군 서도면 아차도리,아차도,126.226863575146,"여행 > 관광,명소 > 섬",,37.6618819950026
월곶포구,True,http://place.map.kakao.com/12316768,월곶포구,경기 시흥시 월곶동,월곶포구,126.738493592692,"교통,수송 > 교통시설 > 항구,포구",,37.3877893051189
강화외포,True,http://place.map.kakao.com/8023646,강화외포,인천 강화군 내가면 외포리 359,외포리마을,126.393741149408,부동산 > 지명,,37.7061977956789
미법도,True,http://place.map.kakao.com/18376837,미법도,인천 강화군 삼산면 미법리,미법도,126.263498065583,"여행 > 관광,명소 > 섬",,37.730553136523
강화대교,True,http://place.map.kakao.com/1648201989,강화대교,경기 김포시 월곶면 포내리 271-52,강화대교,126.523224594264,"교통,수송 > 도로시설 > 교량,다리 > 대교",,37.7337997902871
모도,True,http://place.map.kakao.com/7869332,모도,인천 옹진군 북도면 모도리,모도,126.408644548745,"여행 > 관광,명소 > 섬",032-899-3401,37.5331276251711
주문항,True,http://place.map.kakao.com/18354533,주문항,인천 강화군 서도면 주문도리,주문항,126.235983942068,"교통,수송 > 교통시설 > 항구,포구",,37.6548634712953
세어도,True,http://place.map.kakao.com/14864776,세어도,인천 서구 원창동,세어도,126.563627608438,"여행 > 관광,명소 > 섬",,37.5740150446303
황산도,True,http://place.map.kakao.com/8182783,황산도,인천 강화군 길상면 초지리,황산도,126.540183404075,"여행 > 관광,명소 > 섬",,37.6208132489286
승봉도,True,http://place.map.kakao.com/18376875,승봉도,인천 옹진군 자월면 승봉리,승봉도,126.308453090138,"여행 > 관광,명소 > 섬",032-440-2114,37.1670862608417
소연평도,True,http://place.map.kakao.com/18376730,소연평도,인천 옹진군 연평면 연평리,소연평도,125.717451344775,"여행 > 관광,명소 > 섬",,37.6101296355955
대연평도,True,http://place.map.kakao.com/7820998,대연평도,인천 옹진군 연평면 연평리,대연평도,125.696192593183,"여행 > 관광,명소 > 섬",,37.6684495600986
상가리도,True,http://place.map.kakao.com/878819879,상가리도,제주특별자치도 제주시 애월읍 상가리 536,상가리야자숲,126.35827996412,"여행 > 관광,명소 > 숲",,33.4392078372321
백사장항,True,http://place.map.kakao.com/7885207,백사장항,충남 태안군 안면읍 창기리 2200,백사장항,126.3180580843,"교통,수송 > 교통시설 > 항구,포구",,36.5864010846824
입파도,True,http://place.map.kakao.com/8054670,입파도,경기 화성시 우정읍 국화리,입파도,126.53954583277,"여행 > 관광,명소 > 섬",,37.1062819358946
왜목항,True,http://place.map.kakao.com/10705219,왜목항,충남 당진시 석문면 교로리,왜목항,126.52907666260536,"교통,수송 > 교통시설 > 항구,포구",,37.048800806411414
홍성죽도,True,http://place.map.kakao.com/8081880,홍성죽도,충남 홍성군 서부면 죽도리 29,죽도,126.44143565866811,"여행 > 관광,명소 > 섬",041-630-9609,36.51837640904338
다사항,True,http://place.map.kakao.com/21371729,다사항,충남 서천군 비인면 다사리,다사항,126.612699420126,"교통,수송 > 교통시설 > 항구,포구",,36.096358226481
마서면,True,http://place.map.kakao.com/19327722,마서면,충남 서천군 마서면 덕암리 725,국립생태원,126.718640924183,"여행 > 관광,명소",041-950-5300,36.0362143638241
군산1부두,True,http://place.map.kakao.com/25461446,군산1부두,전북특별자치도 군산시 소룡동 11,군산항 1부두,126.627572087742,"교통,수송 > 교통시설 > 항구,포구 > 부두",,35.9734497710663
십이동파도,True,http://place.map.kakao.com/21606947,십이동파도,전북특별자치도 군산시 옥도면 연도리,십이동파도,126.228184442629,"여행 > 관광,명소 > 섬",,35.9890650391971
비안도,True,http://place.map.kakao.com/18376812,비안도,전북특별자치도 군산시 옥도면 비안도리,비안도,126.453608495564,"여행 > 관광,명소 > 섬",,35.7388896723783
곰소항,True,http://place.map.kakao.com/10158551,곰소항,전북특별자치도 부안군 진서면 진서리,곰소항,126.605688125741,"교통,수송 > 교통시설 > 항구,포구",,35.5859894267529
도리포,True,http://place.map.kakao.com/7837195,도리포,전남 무안군 해제면 송석리,도리포,126.343784762095,"교통,수송 > 교통시설 > 항구,포구",,35.1549310601287
영종대교,True,http://place.map.kakao.com/276924778,영종대교,인천 서구 원창동 434-1,영종대교,126.58652968835,"교통,수송 > 도로시설 > 교량,다리 > 대교",,37.5462829925671
태안,True,http://place.map.kakao.com/8082599,태안,충남 태안군 소원면 의항리 868,천리포수목원,126.149497313658,"여행 > 관광,명소 > 수목원,식물원",041-672-9982,36.7988639112436
인천송도,True,http://place.map.kakao.com/11817170,인천송도,인천 연수구 송도동,오션스코프 경관조형물,126.628178660939,"여행 > 관광,명소 > 전망대",,37.3961689015093
무창포항,True,http://place.map.kakao.com/14654737,무창포항,충남 보령시 웅천읍 관당리 888-57,무창포항,126.537013062302,"교통,수송 > 교통시설 > 항구,포구",,36.2488573086794
변산반도,True,http://place.map.kakao.com/17805956,변산반도,전북특별자치도 부안군 변산면 격포리 788-10,변산반도,126.47071673238918,"음식점 > 한식 > 해물,생선 > 회",063-582-8888,35.62375780166608
실미도,True,http://place.map.kakao.com/8420488,실미도,인천 중구 무의동,실미도,126.391544003395,"여행 > 관광,명소 > 섬",,37.4018554808734
웅도,True,http://place.map.kakao.com/8034896,웅도,충남 서산시 대산읍 웅도리,웅도,126.378645566605,"여행 > 관광,명소 > 섬",,36.9238607086271
송호리,True,http://place.map.kakao.com/7851103,송호리,전남 해남군 송지면 송호리 1161,땅끝마을,126.52709485983617,"여행 > 관광,명소",061-530-5544,34.298519778347504
관매도,True,http://place.map.kakao.com/8183857,관매도,전남 진도군 조도면 관매도리 산 189,관매도,126.04807894364804,"여행 > 관광,명소 > 섬",,34.23654530185997
성남도,True,http://place.map.kakao.com/18376817,성남도,전남 진도군 조도면 성남도리,성남도,126.046236424436,"여행 > 관광,명소 > 섬",,34.3995831953281
신의도,True,http://place.map.kakao.com/18376823,신의도,전남 신안군 신의면 상태동리,신의도,126.091086182244,"여행 > 관광,명소 > 섬",061-271-7002,34.5832658052369
자은도,True,http://place.map.kakao.com/8055035,자은도,전남 신안군 자은면 구영리 1194-3,자은도,126.032523284756,"여행 > 관광,명소 > 섬",061-271-8377,34.8906286702509
세방리,True,http://place.map.kakao.com/23957479,세방리,전남 진도군 지산면 가학리 74,세방리마을회관,126.108869139798,"가정,생활 > 친목 > 마을회관",,34.4424911541254
고사도,True,http://place.map.kakao.com/18376682,고사도,전남 신안군 신의면 고평사도리,고사도,126.151124929402,"여행 > 관광,명소 > 섬",,34.5662180221717
별암,True,http://place.map.kakao.com/27153989,별암,전남 해남군 화원면 영호리 970,별암선착장,126.34766939569977,"교통,수송 > 교통시설 > 선착장,항만시설",,34.70007007554838
압해송공항,True,http://place.map.kakao.com/18354437,압해송공항,전남 신안군 압해읍 송공리,송공항,126.226944626086,"교통,수송 > 교통시설 > 항구,포구",,34.8477811809242
매화도,True,http://place.map.kakao.com/18376861,매화도,전남 신안군 압해읍 매화리,매화도,126.236095974112,"여행 > 관광,명소 > 섬",,34.9246323299216
선도리,True,http://place.map.kakao.com/10459484,선도리,충남 서천군 비인면 선도리 727,비인해수욕장,126.59142604926414,"여행 > 관광,명소 > 해수욕장,해변",,36.12865903522579
홀통,True,http://place.map.kakao.com/8176367,홀통,전남 무안군 현경면 오류리 2-1,홀통해수욕장,126.336882937045,"여행 > 관광,명소 > 해수욕장,해변",061-450-5628,35.0618781054155
증도,True,http://place.map.kakao.com/18376679,증도,전남 신안군 증도면 대초리,증도,126.155052226332,"여행 > 관광,명소 > 섬",,34.9935001629027
재원도,True,http://place.map.kakao.com/18376889,재원도,전남 신안군 임자면 재원리,재원도,126.020713089508,"여행 > 관광,명소 > 섬",,35.0907359974313
전장포항,True,http://place.map.kakao.com/8058878,전장포항,전남 신안군 임자면,전장포항,126.143375828814,"교통,수송 > 교통시설 > 항구,포구",,35.1366663755812
향화도항,True,http://place.map.kakao.com/13015525,향화도항,전남 영광군 염산면 옥실리,향화도항,126.359827701502,"교통,수송 > 교통시설 > 항구,포구",,35.1686631819236
낙월도,True,http://place.map.kakao.com/1156398235,낙월도,전남 영광군 낙월면 상낙월리 443,낙월도펜션,126.136213639016,여행 > 숙박 > 펜션,,35.2018028552586
송이도,True,http://place.map.kakao.com/18376821,송이도,전남 영광군 낙월면 송이리,송이도,126.144269011903,"여행 > 관광,명소 > 섬",,35.2838110734424
구시포항,True,http://place.map.kakao.com/10135686,구시포항,전북특별자치도 고창군 상하면 자룡리 산 96,구시포항,126.436777673269,"교통,수송 > 교통시설 > 항구,포구",,35.4492702627037
