관측소번호	관측소명	위도	경도
DT_0063	가덕도	35.024	128.81
DT_0031	거문도	34.028	127.308
DT_0029	거제도	34.801	128.699
DT_0026	고흥발포	34.481	127.342
DT_0018	군산	35.975	126.563
DT_0017	대산	37.007	126.352
DT_0062	마산	35.197	128.576
DT_0023	모슬포	33.214	126.251
DT_0007	목포	34.779	126.375
DT_0006	묵호	37.55	129.116
DT_0025	보령	36.406	126.486
DT_0005	부산	35.096	129.035
DT_0061	삼천포	34.924	128.069
DT_0094	서거차도	34.251	125.915
DT_0010	서귀포	33.24	126.561
DT_0022	성산포	33.474	126.927
DT_0012	속초	38.207	128.594
IE_0061	신안가거초	33.941	124.592
DT_0008	안산	37.192	126.647
DT_0067	안흥	36.674	126.129
DT_0037	어청도	36.117	125.984
DT_0016	여수	34.747	127.765
IE_0062	옹진소청초	37.423	124.738
DT_0027	완도	34.315	126.759
DT_0013	울릉도	37.491	130.913
DT_0020	울산	35.501	129.387
IE_0060	이어도	32.122	125.182
DT_0001	인천	37.451	126.592
DT_0004	제주	33.527	126.543
DT_0028	진도	34.377	126.308
DT_0021	추자도	33.961	126.3
DT_0014	통영	34.827	128.434
DT_0002	평택	36.966	126.822
DT_0091	포항	36.051	129.376
DT_0011	후포	36.677	129.453
DT_0035	흑산도	34.684	125.435
