epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.414,0.78431,1.72982,1.23989,1.19699,0.66824,0.66122,0.66981,0.49201,0.66235,0.65401,0.6574,0.47695,0.95498,1.7041,1.1418,1.55824,0.000554318,0.000554318,0.000554318
2,192.947,0.82652,1.58736,0.81452,1.21583,0.76167,0.85019,0.84772,0.57086,0.77053,0.84131,0.85384,0.62616,1.21878,1.30559,0.91705,1.72638,0.00108801,0.00108801,0.00108801
3,288.538,0.82005,1.56286,0.73305,1.20504,0.44146,0.61068,0.49891,0.34722,0.43437,0.59844,0.48308,0.32366,1.03298,1.63068,1.20596,1.54447,0.00159969,0.00159969,0.00159969
4,383.765,0.78988,1.49039,0.6823,1.1866,0.73554,0.86261,0.84252,0.63437,0.73821,0.86537,0.84106,0.65514,0.83234,1.18486,0.7164,1.34734,0.00156798,0.00156798,0.00156798
5,477.509,0.7529,1.42782,0.63237,1.16244,0.78941,0.86554,0.89368,0.69898,0.79307,0.8636,0.89216,0.68117,0.84223,1.33964,0.70725,1.34171,0.00153497,0.00153497,0.00153497
6,571.107,0.73016,1.37161,0.59416,1.14818,0.79485,0.80572,0.87795,0.69016,0.78809,0.80016,0.87137,0.69092,0.80289,1.14828,0.769,1.29824,0.00150197,0.00150197,0.00150197
7,664.75,0.72066,1.35603,0.58066,1.14076,0.78861,0.8588,0.90117,0.72906,0.78663,0.85699,0.89852,0.70448,0.74851,1.14566,0.68074,1.2721,0.00146896,0.00146896,0.00146896
8,757.974,0.68993,1.28025,0.54061,1.12099,0.89941,0.84108,0.92033,0.74589,0.89512,0.83658,0.91524,0.7388,0.70498,1.08373,0.55061,1.22205,0.00143595,0.00143595,0.00143595
9,851.159,0.6779,1.26339,0.53483,1.11457,0.8371,0.82879,0.91195,0.74948,0.83029,0.81978,0.90492,0.72339,0.73156,1.20874,0.71825,1.24442,0.00140295,0.00140295,0.00140295
10,944.345,0.65945,1.23768,0.51099,1.10468,0.8598,0.90323,0.92622,0.75734,0.86039,0.9022,0.92569,0.77678,0.73452,0.91648,0.53797,1.22792,0.00136994,0.00136994,0.00136994
11,1038.28,0.65096,1.22782,0.5056,1.099,0.87804,0.9135,0.94967,0.77993,0.87718,0.9126,0.9492,0.77403,0.69296,1.01317,0.48842,1.17933,0.00133693,0.00133693,0.00133693
12,1133.98,0.63415,1.17983,0.48602,1.08826,0.91163,0.86153,0.94891,0.80361,0.90994,0.85972,0.9476,0.77396,0.59948,1.01435,0.48102,1.1226,0.00130393,0.00130393,0.00130393
13,1230.5,0.6342,1.18616,0.48441,1.08488,0.92428,0.93261,0.9692,0.81998,0.92691,0.93531,0.97012,0.80898,0.61179,0.91635,0.43383,1.14077,0.00127092,0.00127092,0.00127092
14,1327.45,0.61508,1.15866,0.46433,1.07383,0.8654,0.93744,0.93567,0.7831,0.86355,0.93564,0.93261,0.77225,0.66632,0.98002,0.48121,1.16726,0.00123791,0.00123791,0.00123791
15,1422.94,0.61242,1.13456,0.4648,1.07546,0.91729,0.89786,0.94687,0.81025,0.91647,0.89696,0.9477,0.78663,0.61577,0.92784,0.47344,1.1356,0.00120491,0.00120491,0.00120491
16,1518.63,0.60581,1.12432,0.44723,1.0693,0.90849,0.89822,0.95922,0.80885,0.90589,0.89552,0.95538,0.80862,0.62686,0.93698,0.42986,1.16285,0.0011719,0.0011719,0.0011719
17,1613.26,0.59682,1.10106,0.44327,1.06466,0.84579,0.91036,0.91145,0.78307,0.84491,0.90946,0.91138,0.76956,0.60147,0.86764,0.46514,1.12346,0.00113889,0.00113889,0.00113889
18,1707.8,0.59045,1.08697,0.43588,1.05994,0.89345,0.90362,0.94142,0.81219,0.8918,0.90182,0.93766,0.79809,0.56993,0.85648,0.44273,1.09375,0.00110589,0.00110589,0.00110589
19,1803,0.58602,1.09534,0.42828,1.05782,0.85372,0.8871,0.93791,0.80627,0.85147,0.8844,0.93252,0.79342,0.6009,0.87929,0.50973,1.11687,0.00107288,0.00107288,0.00107288
20,1896.87,0.57435,1.06688,0.41997,1.05264,0.92507,0.95141,0.97703,0.84384,0.92513,0.95102,0.97644,0.82543,0.5789,0.86239,0.38908,1.10756,0.00103987,0.00103987,0.00103987
21,1991.07,0.55821,1.03779,0.4098,1.04012,0.90458,0.92888,0.95976,0.83411,0.90774,0.92708,0.95922,0.81078,0.57827,0.89407,0.42218,1.09067,0.00100687,0.00100687,0.00100687
22,2084.93,0.56123,1.04902,0.41384,1.04362,0.91704,0.94292,0.95578,0.82664,0.91616,0.9417,0.95551,0.81939,0.56909,0.8016,0.39873,1.10935,0.000973861,0.000973861,0.000973861
23,2179.14,0.55676,1.02961,0.4088,1.04003,0.86706,0.9167,0.94372,0.81642,0.86541,0.9149,0.94222,0.80546,0.58191,0.82686,0.43964,1.10119,0.000940855,0.000940855,0.000940855
24,2273.43,0.55649,1.0279,0.39755,1.03815,0.85667,0.93271,0.95429,0.83529,0.85587,0.93181,0.95388,0.82113,0.54578,0.82819,0.42648,1.0812,0.000907848,0.000907848,0.000907848
25,2367.73,0.54656,1.02653,0.40028,1.03685,0.87025,0.92727,0.95515,0.83896,0.86932,0.92657,0.955,0.82635,0.55212,0.82022,0.42914,1.07653,0.000874842,0.000874842,0.000874842
26,2464.09,0.54422,1.00712,0.39044,1.03093,0.87878,0.93569,0.95993,0.84829,0.87802,0.93479,0.95925,0.82918,0.52509,0.82885,0.43903,1.04968,0.000841835,0.000841835,0.000841835
27,2562.3,0.53093,0.98342,0.37906,1.02266,0.92141,0.91816,0.95285,0.83326,0.92055,0.91726,0.95284,0.82363,0.54046,0.82642,0.39799,1.08037,0.000808828,0.000808828,0.000808828
28,2658.92,0.53773,0.98807,0.38472,1.02851,0.92835,0.94589,0.97246,0.87089,0.9265,0.94409,0.96939,0.84531,0.5199,0.82686,0.3548,1.05211,0.000775822,0.000775822,0.000775822
29,2756.07,0.5356,0.9858,0.38055,1.02741,0.89079,0.89486,0.94454,0.8302,0.89079,0.89486,0.94455,0.81341,0.5281,0.84784,0.42896,1.05908,0.000742815,0.000742815,0.000742815
30,2852.26,0.52315,0.97361,0.37096,1.01879,0.90409,0.89986,0.94534,0.84151,0.90324,0.89896,0.94514,0.82202,0.53552,0.81737,0.40947,1.06979,0.000709809,0.000709809,0.000709809
31,2950.36,0.51786,0.96422,0.36575,1.01712,0.89578,0.90902,0.96454,0.84689,0.89498,0.90811,0.96432,0.82728,0.52443,0.86302,0.40398,1.05889,0.000676802,0.000676802,0.000676802
32,3048.77,0.51194,0.94472,0.35918,1.01386,0.92046,0.94058,0.96308,0.85733,0.91963,0.93968,0.96286,0.83627,0.50588,0.83121,0.38236,1.04079,0.000643795,0.000643795,0.000643795
